営業担当,取扱会社種別,取扱事業所名,法人形態,顧客名,顧客名（カナ）,業種,会社規模,事業展開地域,取引拡大可能性,社歴,信頼性,所属部署,顧客担当者名,顧客住所,電話番号,メールアドレス,FAX
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,キュウシュウダイケン,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,福岡市博多区住吉2-2-1井門博多ビルイースト8階,,,
森山 仁尚,PA,北九州本社,なし,仙台銘板,ハナダシホウショシ・トチカオクチョウサシゴウドウジムショ,学術研究・専門・技術サービス業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区田町12-7,093-561-2266,,093-561-1211
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,ユメマートキタキュウシュウ,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県北九州市八幡西区中須1-1-7,093-602-2770,,093-602-2835
森山 仁尚,PA,北九州本社,（前）有限会社,仙台銘板,スエヒロヤッキョク,卸売業・小売業,,,,,,,,福岡県北九州市門司区東新町2-11-34,,,
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,リライアコミュニケーションズ,サービス業（他に分類されないもの）,,全国展開,,創業30年以上,,,,東京都渋谷区代々木2-2-1小田急サザンタワー16階,03-5351-7200,,3-5351-3300
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,ルネ,卸売業・小売業,,,,創業30年以上,,,,東京都渋谷区渋谷2-11-8,0120-246-247,,
森山 仁尚,PA,北九州本社,なし,仙台銘板,トダタダヨシゼイリシジムショ,学術研究・専門・技術サービス業,,地域限定,,,,,,福岡県北九州市戸畑区中原西2-8-31森ビル2階,093-873-1112,,
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,アッセン,製造業,,地域限定,,創業30年以上,,,,福岡県久留米市田主丸町秋成257,0943-72-8220,,0943-72-8221
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,イケマグミ,建設業,,,,創業30年以上,,,,福岡県北九州市若松区童子丸1-1-43,093-791-1238,,093-701-3854
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,ガスパルキュウシュウ,電気・ガス・熱供給・水道業,,,,創業10年以上,,,,福岡県福岡市中央区高砂1-1-29一丁目KFビル2階,092-523-0661,,092-523-0662
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,ビックス,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区井堀1-5-28,093-581-5201,,093-581-6027
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,カワハラグループ,,,,,,,,,福岡県北九州市門司区大字猿喰179-1,093-481-2002,,
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,トバタテッコウ,,,,,創業30年以上,,,,福岡県北九州市小倉南区新曽根9-20,093-471-7955,,093-471-1607
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,ツルマルカイウン,,,,,,,,,福岡県北九州市若松区本町1-5-11,093-761-5631,,093-771-6172
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,サンキュウ,運輸業・郵便業,,全国展開,,創業30年以上,,,,東京都中央区勝どき6-5-23,3536-3939,,
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,コウエイショウジ,,,,,,,,,神奈川県横浜市⾦沢区福浦1-13-3,045-785-1133,,045-785-1134
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板,トドロキキカク,,,,,,,,,福岡県豊前市大字沓川650-1,0979-82-5792,,
森山 仁尚,HC,北九州本社,（後）株式会社,仙台銘板,ヤマシタイカキカイ,,,,,,,,,長崎県佐世保市湊町3-13,0956-25-2112,,0956-25-8141
森山 仁尚,HC,北九州本社,その他,仙台銘板,レイスイフクシカイ,,,,,,,,,熊本県熊本市南区良町1-22-1,096-378-3167,,
森山 仁尚,HC,北九州本社,（前）株式会社,仙台銘板,ネオマルス,,,,,,,,,大分県大分市都町2-1-10ウォーカービル8階,097-573-3131,,097-573-3130
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,スカイレンタカーキュウシュウ,,,,,,,,,福岡県北九州市小倉北区浅野2-15-45クローバージャパンビル1階,,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ナカノ,,,,,,,,,福岡県北九州市小倉北区魚町2-3-22,093-521-0453,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ゼンリン,,,,,,,,,福岡県北九州市戸畑区中原新町3-1,093-882-9050,,093-882-9100
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,エヌティーティーマーケティングアクトプロクス,,,,,,,,,大阪市都島区東野田町4-15-82,,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,コダマショウテン,,,,,創業30年以上,,,,福岡県北九州市若松区北浜2-1-6,093-761-3821,,093-771-5013
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,アヴェニュー,,,,,,,,,福岡県北九州市小倉北区清水3-9-1,,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,アスカカイカン,,,,,,,,,山口県下関市山の田本町17-10,083-253-7200,,083-253-7300
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,ダイエイサンギョウ,,,,,創業30年以上,,,,福岡県北九州市八幡西区下上津役4-1-36,,,
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,ジミサンギョウ,,,,,創業30年以上,,,,福岡県北九州市若松区安瀬1-29,093-751-7511,,093-751-8499
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ドリス,,,,,創業10年以上,,,,福岡県北九州市小倉北区東港1-1-5,,,
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,ヤスカワマニュファクチャリング,,,,,創業10年以上,,,,福岡県北九州市八幡西区黒崎城石2-1,093-588-3041,,093-588-3042
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ティーエムジェイ,,,,,創業30年以上,,,,東京都新宿区西新宿7-20-1住友不動産西新宿ビル,03-6758-2000,,
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,ニシテツビルマネージメント,,,,,創業30年以上,,,,福岡県福岡市中央区今泉1-12-23西鉄今泉ビル3階・4階,092-718-0620,,092-718-0632
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ビービーディオー・ジェイ・ウェスト,,,,,,,,,福岡市中央区天神4-1-32天神リバーフロントビジネスセンター7階,092-751-2466,,092-751-8095
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,コダマケンコウショクヒン,,,,,創業30年以上,,,,福岡県北九州市小倉北区東港1-1-12,093-581-2202,,093-581-2203
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ジェイティービー,,,,,,,,,東京都品川区東品川2-3-11JTBビル,,,
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,ホウユウ,,,,,創業10年未満,,,,福岡県北九州市小倉北区魚町1‐1-9,,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,セイブコウサングループ,,,,,,,,,福岡県北九州市八幡西区割子川2-17-32,093-613-1115,,
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,タケフジカイハツコウギョウ,製造業,,,,創業30年以上,,,,福岡県北九州市若松区南二島1-13-10,093-791-2477,,093-791-4526
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,キュウシュウキデン,,,,,創業30年以上,,,,福岡県北九州市小倉北区西港町92-5,093-591-2333,,093-591-2323
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,カンリクエクスプレスキュウシュウ,運輸業・郵便業,,,,,,,,福岡県糟屋郡須恵町植木1158-1,092-931-2020,,092-931-2030
穂束 和美,PA,北九州本社,（前）有限会社,仙台銘板,ヤハタニシチョウザイヤッキョク,卸売業・小売業,,,,,,,,福岡県北九州市八幡西区八枝3-12-1,093-695-0777,,
穂束 和美,PA,北九州本社,（前）有限会社,仙台銘板,フクダカイケイセンター,サービス業（他に分類されないもの）,,,,,,,,福岡県北九州市小倉北区片野4-20-3-208,093-922-3003,zeirisi@jupiter.plala.or.jp,093-922-3100
穂束 和美,PA,北九州本社,その他,仙台銘板,キンミライ,学術研究・専門・技術サービス業,,地域限定,,,,,,福岡市東区香椎駅前1-20-28木下ビル302,092-661-8035,,
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,オウジセイタイ,製造業,,全国展開,,創業30年以上,,,,東京都中央区銀座5-12-8王子ホールディングス1号館,03-5550-2850,,03-5550-0451
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,フタバヤクヒン,卸売業・小売業,,,,創業30年以上,,,,福岡県北九州市八幡西区藤田4-2-13,093-622-0751,,093-622-0761
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,オカソウ,,,,,創業30年以上,,,,大阪府大阪市中央区島之内1-14-19,06-6252-5510,,06-6252-5108
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,キタキュウフクチョウ,,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区中井5-17-25,093-581-1873,kokura@fukucho.com,093-581-6200
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,エクシング,運輸業・郵便業,,全国展開,,創業30年以上,,,,大阪府大阪市淀川区加島1-37-56,,,
穂束 和美,PA,北九州本社,なし,仙台銘板,ミサキクリニック,医療・福祉,,地域限定,,,,,,福岡県北九州市門司区西海岸1-6-6-101,093-321-2586,,
穂束 和美,PA,北九州本社,その他,仙台銘板,トチカオクチョウサシホウジンアトライズ,,,,,,,,,福岡県北九州市小倉北区吉野町10-19,093-932-1822 ,,093-932-1823
穂束 和美,PA,北九州本社,その他,仙台銘板,アトライズゴウドウシホウショシホウジン,,,,,,,,,福岡県北九州市小倉北区堺町1-9-10,093-511-0302,,093-511-0303
穂束 和美,HC,北九州本社,（前）株式会社,仙台銘板,シミズサンギョウ,,,地域限定,,創業10年以上,,,,福岡県北九州市戸畑区小芝3-11-26,093-882-9785,,093-882-9778
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,エフステージ,,,,,,,,,福岡県北九州市小倉北区赤坂3-11-33,083-277-0349,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,コンドウカイジ,,,複数地域,,創業30年以上,,,,福岡県北九州市若松区北湊町3-24,093-761-1111,,093-761-1001
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,シンセイシャ,,,,,創業30年以上,,,,福岡県北九州市門司区松原1-10-35,093-391-8311,,093-391-8312
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,タサイソウコ,,,地域限定,,創業10年未満,,,,福岡県北九州市若松区響町3-1-12,093-482-8256,,093-482-8257
穂束 和美,HC,北九州本社,なし,仙台銘板,クマモトケンギョギョウキョウドウクミアイレンゴウカイ,,,,,,,,,熊本県熊本市西区中原町656,096-329-8800,kumamotogyoren@jf-kumamoto.com,096-329-8787
穂束 和美,PA,北九州本社,（前）有限会社,仙台銘板,セイユウジドウシャ,,,,,,,,,,,,
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,ティージーロジスティクス,,,複数地域,,創業30年以上,,,,愛知県一宮市萩原町東宮重字長原25-2,0586-67-1128,,0586-67-1158
穂束 和美,HC,北九州本社,（前）株式会社,仙台銘板,ヴァレオ・ジャパン,,,,,,,,,東京都渋谷区元代々木町30-13ONEST元代々木スクエア4階,03-5465-5710,,
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,ドットノアホールディングス,,,,,,,,,福岡県北九州市小倉北区浅野3-8-1AIMビル6階,093-967-9767,info@noah-holdings.com,093-383-7564
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,アサヒコクサイテクネイオン,,,,,,,,,福岡県北九州市門司区新門司北1-3-8,,,
穂束 和美,PA,北九州本社,（後）有限会社,仙台銘板,ショウカジドウシャコウギョウ,,,,,創業30年以上,,,,福岡県北九州市小倉北区赤坂海岸5-20,093-521-9497,,093-511-4352
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,プラスチックオムニウム,製造業,,,,,,,,東京都港区虎ノ門2-10-1虎ノ門ツインビルディング西棟12階,,,
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,フォルシア・ニッパツキュウシュウ,,,,,,,,,福岡県京都郡苅田町新浜町9-9,093-435-3300,,
穂束 和美,HC,北九州本社,（前）株式会社,仙台銘板,タカダコウギョウショ,,,,,,,,,福岡県北九州市八幡西区築地町1-1,093-632-2631,,
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,ニッセキコウギョウ,,,,,創業30年以上,,,,福岡県北九州市門司区松原2-3-8,093-371-1011,,093-371-1014
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,エーアイピー,卸売業・小売業,,,,創業30年以上,,,,福岡県福岡市西区姪浜駅南3-16-22,,,
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,ホリカワ,,,,,創業30年以上,,,,福岡県北九州市戸畑区牧山海岸2-8,093-882-2910,,093-871-3137
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,コガホールディングス,卸売業・小売業,,,,創業30年以上,,,,福岡県行橋市宮市町5-24ハイライフサクセス1階,0930-22-0303,,0930-24-0777
穂束 和美,PA,北九州本社,（前）株式会社,仙台銘板,エイテック,,,,,創業10年以上,,,,福岡県行橋市大字吉国355-1,,,
穂束 和美,PA,北九州本社,その他,仙台銘板,キタキュウシュウショウコウカイギショ,,,,,創業30年以上,,,,福岡県北九州市小倉北区紺屋町13-1,093-541-0181,,093-531-1799
穂束 和美,PA,北九州本社,（後）株式会社,仙台銘板,トウホウホーム,,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区下到津4-9-2,093-571-1555,kitaq@tohohome.jp,093-571-1503
穂束 和美,HC,北九州本社,（後）株式会社,仙台銘板,タカハシウンユコウギョウ,,,,,,,,,,,,
穂束 和美,HC,北九州本社,（前）株式会社,仙台銘板,フェスティバロシャ,卸売業・小売業,,,,創業30年以上,,,,鹿児島県鹿屋市上野町1869,0994-43-3460,festivalo@festivalo.co.jp,
穂束 和美,HC,北九州本社,その他,仙台銘板,ナガサキケントチカオクチョウサシカイ,,,,,,,,,長崎県長崎市桜町7-6-101サンガーデン桜町,095-828-0009,nagasaki@trust.ocn.ne.jp,095-828-2629
木下 雅文,PA,北九州本社,その他,仙台銘板,キタキュウシュウコンベンションキョウカイ,,,,,,,,,福岡県北九州市小倉北区浅野3-8-1,,,
木下 雅文,PA,北九州本社,その他,仙台銘板,キタキュウシュウシゲイジュツブンカシンコウザイダン,,,,,,,,,福岡県北九州市小倉北区室町1-1-1-11リバーウォーク北九州5階,093-562-3016,,093-562-3017
木下 雅文,PA,北九州本社,その他,仙台銘板,ナカマシヤクショ,,,,,,,,,福岡県中間市中間1-1-1,093-244-1111,,093-245-5598
木下 雅文,PA,北九州本社,（前）株式会社,仙台銘板,ジェイリンク,,,,,創業30年以上,,,,福岡県北九州市小倉北区竪町1-6-7,093-581-6363,,
木下 雅文,PA,北九州本社,（前）株式会社,仙台銘板,ミクニ,,,,,創業30年以上,,,,福岡県北九州市小倉北区紺屋町12-4,093-521-0392,,093-521-0399
木下 雅文,PA,北九州本社,（前）株式会社,仙台銘板,トッパングラフィックコミュニケーションズ,,,,,,,,,,,,
木下 雅文,PA,北九州本社,その他,仙台銘板,キタキュウシュウシヤクショ,,,,,,,,,福岡県北九州市小倉北区城内1-1,,,
木下 雅文,PA,北九州本社,（後）株式会社,仙台銘板,アパマンプロパティ,,,,,,,,,福岡県北九州市小倉北区浅野2-14-3あるあるCity2号館3階 ,,,
木下 雅文,PA,北九州本社,（前）株式会社,仙台銘板,プライムプレイス,,,,,創業10年以上,,,,福岡県北九州市小倉北区室町1-1-1,,,
田代 健志,PA,北九州本社,（後）株式会社,仙台銘板,フクオカトヨペット,,,,,,,,,福岡県福岡市博多区東光1-6-13,092-411-1121,,092-474-2115
田代 健志,PA,北九州本社,（前）株式会社,仙台銘板,トヨタレンタリースハカタ,,,,,,,,,福岡県福岡市博多区東光1-6-13,092-472-8355,,092-472-8376
田代 健志,PA,北九州本社,（後）株式会社,仙台銘板,アサヒタテモノカンリ,,,,,,,,,大阪市北区中之島2-3-18中之島フェスティバルタワー18階,06-6203-0522,,06-6203-0525
田代 健志,HC,北九州本社,（前）株式会社,仙台銘板,オートウェイ,,,,,創業30年以上,,,,福岡県京都郡苅田町苅田3787-62,093-436-4800,,093-436-3100
