営業担当,取扱会社種別,取扱事業所名,法人形態,顧客名,顧客名（カナ）,業種,会社規模,事業展開地域,取引拡大可能性,社歴,信頼性,所属部署,顧客担当者名,顧客住所,電話番号,メールアドレス,FAX
森山 仁尚,PA,北九州本社,（前）株式会社,マックスコム北九州営業所,マックスコムキタキュウシュウエイギョウショ,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,福岡県北九州市八幡東区東田1-5-7九州ヒューマンメディア創造センター,093-661-0520,,
森山 仁尚,PA,北九州本社,（前）株式会社,マックスコム小倉オペレーションセンター,マックスコムコクラオペレーションセンター,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,福岡県北九州市小倉北区京町3-1-1セントシティ,,,
森山 仁尚,HC,北九州本社,（前）株式会社,共和美研,キョウワビケン,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区砂津1-9-5,093-521-3122,,093-521-3199
森山 仁尚,PA,北九州本社,（前）株式会社,ナフコ小倉北店,ナフココクラキタテン,卸売業・小売業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉北区末広2-1-5,093-512-8531,,093-512-8530
森山 仁尚,PA,北九州本社,（前）株式会社,ナフコ小倉南店,ナフココクラミナミテン,卸売業・小売業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉南区上葛原1-16-1,093-932-0161,,093-932-0160
森山 仁尚,PA,北九州本社,（前）株式会社,ナフコ八幡東店,ナフコヤハタヒガシテン,卸売業・小売業,,全国展開,,創業30年以上,,,,福岡県北九州市八幡東区東田1-2-20,093-663-2681,,093-663-2680
森山 仁尚,HC,北九州本社,（前）株式会社,荒木工業,アラキコウギョウ,製造業,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区本城東4-14-1-108,093-601-3132,,093-601-3132
森山 仁尚,HC,北九州本社,（後）株式会社,ハマテック,ハマテック,製造業,,複数地域,,創業10年以上,,,,福岡県直方市上新入2558-5,0949-23-8100,,0949-23-8099
森山 仁尚,PA,北九州本社,（後）株式会社,AWPジャパン北九州オフィス,エーダブリュピージャパンキタキュウシュウオフィス,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,福岡県北九州市小倉北区堺町2-3-20太陽生命小倉TMビル5階,,,
森山 仁尚,PA,北九州本社,その他,社会福祉法人鈴の音会,スズノネカイ,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,,,,
森山 仁尚,PA,北九州本社,（前）株式会社,新菱,シンリョウ,製造業,,全国展開,,創業30年以上,,,,福岡県北九州市八幡西区黒崎3-9-22RISO黒崎駅前ビル,093-643-2777,,
森山 仁尚,HC,北九州本社,その他,社会福祉法人春秋会,シュンジュウカイ,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,福岡県北九州市小倉南区曽根新田北３丁目２－１,093-474-2288,,093-474-2277
森山 仁尚,HC,北九州本社,（前）株式会社,興洋商会西港第一工場,コウヨウショウカイニシミナトダイイチコウジョウ,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区西港町122-11,093-592-3669,,093-592-3671
森山 仁尚,PA,北九州本社,（前）株式会社,仙台銘板北九州営業所,センダイメイバンキタキュウシュウエイギョウショ,卸売業・小売業,,全国展開,,創業30年以上,,,,福岡県京都郡苅田町鳥越町1-42,093-435-3400,,093-435-3401
森山 仁尚,PA,北九州本社,（前）株式会社,九州スーパーハウス,キュウシュウスーパーハウス,製造業,,複数地域,,創業30年以上,,,,福岡県北九州市戸畑区中原新町2-1北九州テクノセンター10階,093-873-2100,,093-873-2101
森山 仁尚,HC,北九州本社,（後）株式会社,エスティケイテクノロジー,エスティケイテクノロジー,製造業,,複数地域,,創業30年以上,,,,大分県大分市大字三佐2468-10,097-527-2161,,097-522-3001
森山 仁尚,PA,北九州本社,（後）株式会社,SBエンジニアリング北九州オフィス,エスビーエンジニアリングキタキュウシュウオフィス,情報通信業,,全国展開,,創業10年以上,,,,福岡県北九州市八幡東区東田1-5-3北九州テレコムセンター2号館,,,
森山 仁尚,HC,北九州本社,（前）株式会社,スピナ,スピナ,不動産業・物品賃貸業,,地域限定,,創業30年以上,,,,福岡県北九州市八幡東区平野2-11-1,093-671-0344,,
森山 仁尚,HC,北九州本社,（前）株式会社,三和商運,サンワショウウン,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区本町1-14-14,093-751-7374,,
森山 仁尚,HC,北九州本社,（後）有限会社,丸西商事,マルニシショウジ,,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区片野2-8‐3,,,
森山 仁尚,PA,北九州本社,（後）株式会社,西部ガス北九州リビング営業部,サイブガスキタキュウシュウリビングエイギョウブ,電気・ガス・熱供給・水道業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区愛宕1-5-10,,,
森山 仁尚,PA,北九州本社,（前）株式会社,九州ダイケン,キュウシュウダイケン,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,福岡市博多区住吉2-2-1井門博多ビルイースト8階,,,
森山 仁尚,PA,北九州本社,なし,​花田司法書士・土地家屋調査士合同事務所,ハナダシホウショシ・トチカオクチョウサシゴウドウジムショ,,,,,,,,,福岡県北九州市小倉北区田町12-7,093-561-2266,,093-561-1211
森山 仁尚,PA,北九州本社,（前）株式会社,ゆめマート北九州,ユメマートキタキュウシュウ,,,,,創業30年以上,,,,福岡県北九州市八幡西区中須1-1-7,093-602-2770,,093-602-2835
森山 仁尚,PA,北九州本社,（前）有限会社,末廣薬局,スエヒロヤッキョク,,,,,,,,,福岡県北九州市門司区東新町2-11-34,,,
森山 仁尚,HC,北九州本社,（後）株式会社,りらいあコミュニケーションズ九州支店,リライアコミュニケーションズキュウシュウシテン,,,,,,,,,福岡県福岡市中央区天神1-6-8天神ツインビル,092-725-0345,,092-725-0400
森山 仁尚,PA,北九州本社,（前）株式会社,ルネ九州本社,ルネキュウシュウホンシャ,,,,,創業30年以上,,,,福岡県北九州市小倉北区馬借1-3-22,093-522-5779,,
森山 仁尚,PA,北九州本社,なし,戸田正義税理士事務所,トダタダヨシゼイリシジムショ,,,,,,,,,福岡県北九州市戸畑区中原西2-8-31森ビル2階,093-873-1112,,
森山 仁尚,HC,北九州本社,（前）株式会社,アッセン,アッセン,,,,,,,,,福岡県久留米市田主丸町秋成257,0943-72-8220,,0943-72-8221
森山 仁尚,PA,北九州本社,（前）株式会社,池間組,イケマグミ,,,,,,,,,福岡県北九州市若松区童子丸1-1-43,093-791-1238,,093-701-3854
森山 仁尚,PA,北九州本社,（前）株式会社,ガスパル九州福岡東販売所,ガスパルキュウシュウフクオカヒガシハンバイジョ,,,,,,,,,福岡県宗像市赤間駅前1-2-1ライオンズマンション赤間202,0940-35-6875,,0940-35-6876
森山 仁尚,PA,北九州本社,（前）株式会社,ビックス,ビックス,,,,,創業30年以上,,,,福岡県北九州市小倉北区井堀1-5-28,093-581-5201,,093-581-6027
森山 仁尚,HC,北九州本社,（前）株式会社,川原グループ,カワハラグループ,,,,,,,,,福岡県北九州市門司区大字猿喰179-1,093-481-2002,,
森山 仁尚,HC,北九州本社,（後）株式会社,戸畑鉄工,トバタテッコウ,,,,,創業30年以上,,,,福岡県北九州市小倉南区新曽根9-20,093-471-7955,,093-471-1607
森山 仁尚,HC,北九州本社,（後）株式会社,鶴丸海運若松営業所,ツルマルカイウンワカマツエイギョウショ,,,,,,,,,福岡県北九州市若松区響町1,,,
森山 仁尚,HC,北九州本社,（後）株式会社,鶴丸海運東京製鐵営業所,ツルマルカイウントウキョウセイテツエイギョウショ,,,,,,,,,福岡県北九州市若松区南二島3-5-1東京製鐵㈱九州工場内,093-791-6590,,093-791-6591
森山 仁尚,HC,北九州本社,（後）株式会社,鶴丸海運北九州営業所,ツルマルカイウンキタキュウシュウエイギョウショ,,,,,,,,,福岡県京都郡苅田町新浜町1-6,093-434-1171,,093-434-1971
森山 仁尚,HC,北九州本社,（後）株式会社,山九北九州支店,サンキュウキタキュウシュウシテン,,,,,,,,,福岡県北九州市戸畑区大字中原先の浜46-51,093-861-3939,,093-884-9839
森山 仁尚,HC,北九州本社,（後）株式会社,興栄商事北九州リサイクルセンター・北九州中間処理センター,コウエイショウジキタキュウシュウリサイクルセンター・キタキュウシュウチュウカンショリセンター,,,,,,,,,福岡県北九州市⾨司区新⾨司1-7-11,093-481-7507,,093-481-7508
森山 仁尚,PA,北九州本社,（前）株式会社,轟企画,トドロキキカク,,,,,,,,,福岡県豊前市大字沓川650-1,0979-82-5792,,
森山 仁尚,HC,北九州本社,（後）株式会社,山下医科器械長崎支社,ヤマシタイカキカイナガサキシシャ,,,,,,,,,長崎県長崎市浜口町12-19,095-844-3171,,095-844-3174
森山 仁尚,HC,北九州本社,その他,社会福祉法人冷水福祉会,レイスイフクシカイ,,,,,,,,,熊本県熊本市南区良町1-22-1,096-378-3167,,
森山 仁尚,HC,北九州本社,（前）株式会社,ネオマルス,ネオマルス,,,,,,,,,大分県大分市都町2-1-10ウォーカービル8階,097-573-3131,,097-573-3130
穂束 和美,PA,北九州本社,（前）株式会社,ネオマルス北九州オフィス　？,ネオマルスキタキュウシュウオフィス,,,,,,,,,福岡県北九州市小倉北区鍛冶町1-1-1北九州東洋ビル3階,050-6865-7820,,
穂束 和美,PA,北九州本社,（後）株式会社,スカイレンタカー九州,スカイレンタカーキュウシュウ,,,,,,,,,福岡県北九州市小倉北区浅野2-15-45クローバージャパンビル1階,,,
穂束 和美,PA,北九州本社,（前）株式会社,ナカノ,ナカノ,,,,,,,,,福岡県北九州市小倉北区魚町2-3-22,093-521-0453,,
穂束 和美,PA,北九州本社,（前）株式会社,ゼンリン,ゼンリン,,,,,,,,,福岡県北九州市戸畑区中原新町3-1,093-882-9050,,093-882-9100
穂束 和美,PA,北九州本社,（前）株式会社,NTTマーケティングアクトProCX,エヌティーティーマーケティングアクトプロクス,,,,,,,,,,,,
穂束 和美,PA,北九州本社,（前）株式会社,小玉商店,コダマショウテン,,,,,創業30年以上,,,,福岡県北九州市若松区北浜2-1-6,093-761-3821,,093-771-5013
穂束 和美,PA,北九州本社,（前）株式会社,アヴェニュー,アヴェニュー,,,,,,,,,福岡県北九州市小倉北区清水3-9-1,,,
穂束 和美,PA,北九州本社,（前）株式会社,飛鳥会館,アスカカイカン,,,,,,,,,山口県下関市山の田本町17-10,083-253-7200,,083-253-7300
穂束 和美,PA,北九州本社,（後）株式会社,大英産業,ダイエイサンギョウ,,,,,創業30年以上,,,,福岡県北九州市八幡西区下上津役4-1-36,,,
穂束 和美,PA,北九州本社,（後）株式会社,自見産業,ジミサンギョウ,,,,,創業30年以上,,,,福岡県北九州市若松区安瀬1-29,093-751-7511,,093-751-8499
穂束 和美,PA,北九州本社,（前）株式会社,ドリス,ドリス,,,,,創業10年以上,,,,福岡県北九州市小倉北区東港1-1-5,,,
穂束 和美,HC,北九州本社,（後）株式会社,安川マニュファクチャリング,ヤスカワマニュファクチャリング,,,,,創業10年以上,,,,福岡県北九州市八幡西区黒崎城石2-1,093-588-3041,,093-588-3042
穂束 和美,HC,北九州本社,（後）株式会社,安川マニュファクチャリング行橋事業所,ヤスカワマニュファクチャリングユクハシジギョウショ,,,,,創業10年以上,,,,福岡県行橋市西宮市2-13-1,0930-25-4391,,0930-23-2915
穂束 和美,HC,北九州本社,（前）株式会社,安川電機中間事業所,ヤスカワデンキナカマジギョウショ,,,,,創業30年以上,,,,福岡県中間市上底井野319-4,093-245-7820,,093-245-7819
穂束 和美,PA,北九州本社,（前）株式会社,TMJ北九州センター,ティーエムジェイキタキュウシュウセンター,,,,,創業30年以上,,,,福岡県北九州市戸畑区汐井町1-6ウェルとばた,,,
穂束 和美,HC,北九州本社,（後）株式会社,西鉄ビルマネージメント,ニシテツビルマネージメント,,,,,創業30年以上,,,,福岡県福岡市中央区今泉1-12-23西鉄今泉ビル3階・4階,092-718-0620,,092-718-0632
穂束 和美,PA,北九州本社,（前）株式会社,BBDO・J・WEST北九州支店,ビービーディオー・ジェイ・ウェストキタキュウシュウシテン,,,,,,,,,福岡県北九州市小倉北区紺屋町1-1-204サンシャイン南国ビル,093-551-3881,,093-551-3883
穂束 和美,PA,北九州本社,（後）株式会社,コダマ健康食品,コダマケンコウショクヒン,,,,,創業30年以上,,,,福岡県北九州市小倉北区東港1-1-12,093-581-2202,,093-581-2203
穂束 和美,PA,北九州本社,（前）株式会社,JTB北九州支店,ジェイティービーキタキュウシュウシテン,,,,,,,,,福岡県北九州市小倉北区堺町1-1-1JTB小倉ビル7階,093-521-2887,,
穂束 和美,PA,北九州本社,（後）株式会社,寶結,ホウユウ,,,,,創業10年未満,,,,福岡県北九州市小倉北区魚町1‐1-9,,,
穂束 和美,PA,北九州本社,（前）株式会社,西部興産グループ西部遠賀交通,セイブコウサングループセイブオンガコウツウ,,,,,,,,,福岡県遠賀郡遠賀町今古賀478-2,,,
穂束 和美,PA,北九州本社,（後）株式会社,竹藤開発工業,タケフジカイハツコウギョウ,製造業,,,,創業30年以上,,,,福岡県北九州市若松区南二島1-13-10,093-791-2477,,093-791-4526
穂束 和美,PA,北九州本社,（後）株式会社,九州機電,キュウシュウキデン,,,,,創業30年以上,,,,福岡県北九州市小倉北区西港町92-5,093-591-2333,,093-591-2323
穂束 和美,PA,北九州本社,（後）株式会社,カンリクEXPRESS九州,カンリクエクスプレスキュウシュウ,運輸業・郵便業,,,,,,,,福岡県糟屋郡須恵町植木1158-1,092-931-2020,,092-931-2030
穂束 和美,PA,北九州本社,（前）有限会社,八幡西調剤薬局,ヤハタニシチョウザイヤッキョク,卸売業・小売業,,,,,,,,福岡県北九州市八幡西区八枝3-12-1,093-695-0777,,
穂束 和美,PA,北九州本社,（前）有限会社,福田会計センター,フクダカイケイセンター,サービス業（他に分類されないもの）,,,,,,,,福岡県北九州市小倉北区片野4-20-3-208,093-922-3003,zeirisi@jupiter.plala.or.jp,093-922-3100
穂束 和美,PA,北九州本社,その他,税理士法人近未来小倉相談所,キンミライコクラソウダンジョ,サービス業（他に分類されないもの）,,地域限定,,,,,,福岡県北九州市小倉北区馬借3-6-33小倉スカイマンション天神島202,093-967-7918,,092-661-8136
穂束 和美,HC,北九州本社,（後）株式会社,王子製袋九州工場,オウジセイタイキュウシュウコウジョウ,製造業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉南区大字朽網3914-38,093-474-0661,,093-474-0660
穂束 和美,PA,北九州本社,（後）株式会社,フタバ薬品,フタバヤクヒン,卸売業・小売業,,,,創業30年以上,,,,福岡県北九州市八幡西区藤田4-2-13,093-622-0751,,093-622-0761
穂束 和美,PA,北九州本社,（後）株式会社,岡總九州支店,オカソウキュウシュウシテン,,,,,創業30年以上,,,,福岡県北九州市小倉北区西港町92-1,093-592-3466,,093-592-2829
穂束 和美,HC,北九州本社,（後）株式会社,北九福鳥,キタキュウフクチョウ,,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区中井5-17-25,093-581-1873,kokura@fukucho.com,093-581-6200
穂束 和美,PA,北九州本社,（前）株式会社,エクシング北九州営業所,エクシングキタキュウシュウエイギョウショ,運輸業・郵便業,,全国展開,,創業30年以上,,,,福岡県北九州市八幡西区洞北町2-14,093-691-8682,,093-691-1471
穂束 和美,PA,北九州本社,なし,三崎クリニック,ミサキクリニック,医療・福祉,,地域限定,,,,,,福岡県北九州市門司区西海岸1-6-6-101,093-321-2586,,
穂束 和美,PA,北九州本社,その他,土地家屋調査士法人アトライズ,トチカオクチョウサシホウジンアトライズ,,,,,,,,,福岡県北九州市小倉北区吉野町10-19,093-932-1822 ,,093-932-1823
穂束 和美,PA,北九州本社,その他,アトライズ合同司法書士法人,アトライズゴウドウシホウショシホウジン,,,,,,,,,福岡県北九州市小倉北区堺町1-9-10,093-511-0302,,093-511-0303
穂束 和美,HC,北九州本社,（前）株式会社,清水産業小倉工場,シミズサンギョウコクラコウジョウ,,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区西港町72-40,093-882-9778,,093-562-0227
穂束 和美,PA,北九州本社,（前）株式会社,Fstage,エフステージ,,,,,,,,,福岡県北九州市小倉北区赤坂3-11-33,083-277-0349,,
穂束 和美,PA,北九州本社,（前）株式会社,近藤海事,コンドウカイジ,,,複数地域,,創業30年以上,,,,福岡県北九州市若松区北湊町3-24,093-761-1111,,093-761-1001
穂束 和美,PA,北九州本社,（前）株式会社,新星社,シンセイシャ,,,,,創業30年以上,,,,福岡県北九州市門司区松原1-10-35,093-391-8311,,093-391-8312
穂束 和美,PA,北九州本社,（前）株式会社,田才倉庫,タサイソウコ,,,地域限定,,創業10年未満,,,,福岡県北九州市若松区響町3-1-12,093-482-8256,,093-482-8257
穂束 和美,HC,北九州本社,なし,熊本県漁業協同組合連合会,クマモトケンギョギョウキョウドウクミアイレンゴウカイ,,,,,,,,,熊本県熊本市西区中原町656,096-329-8800,kumamotogyoren@jf-kumamoto.com,096-329-8787
穂束 和美,PA,北九州本社,（前）有限会社,西友自動車苅田事業所,セイユウジドウシャカンダジギョウショ,,,,,,,,,福岡県京都郡苅田町新浜町9-12,093-434-4395,,
穂束 和美,PA,北九州本社,（後）株式会社,TGロジスティクス北九州営業所,ティージーロジスティクスキタキュウシュウエイギョウショ,,,複数地域,,創業30年以上,,,,福岡県北九州市八幡東区前田北洞岡1-2,093-662-8361,,093-662-8362
穂束 和美,HC,北九州本社,（前）株式会社,ヴァレオ・ジャパン九州工場,ヴァレオ・ジャパンキュウシュウコウジョウ,,,,,,,,,福岡県京都郡苅田町新浜町9-19,093-967-3140,,
穂束 和美,HC,北九州本社,（前）株式会社,ヴァレオ・ジャパン苅田工場,ヴァレオ・ジャパンカンダコウジョウ,,,,,,,,,福岡県京都郡苅田町大字与原2101-1,,,
穂束 和美,PA,北九州本社,（後）株式会社,.Noahホールディングス,ドットノアホールディングス,,,,,,,,,福岡県北九州市小倉北区浅野3-8-1AIMビル6階,093-967-9767,info@noah-holdings.com,093-383-7564
穂束 和美,HC,北九州本社,（後）株式会社,旭国際テクネイオン,アサヒコクサイテクネイオン,,,,,,,,,福岡県北九州市門司区新門司北1-3-8,,,
穂束 和美,PA,北九州本社,（後）有限会社,昌加自動車工業,ショウカジドウシャコウギョウ,,,,,創業30年以上,,,,福岡県北九州市小倉北区赤坂海岸5-20,093-521-9497,,093-511-4352
穂束 和美,HC,北九州本社,（後）株式会社,PLASTICOMNIUM北九州工場,プラスチックオムニウムキタキュウシュウコウジョウ,製造業,,,,,,,,福岡県北九州市小倉南区  朽網3914-46,,,
穂束 和美,HC,北九州本社,（後）株式会社,フォルシア・ニッパツ九州,フォルシア・ニッパツキュウシュウ,,,,,,,,,福岡県京都郡苅田町新浜町9-9,093-435-3300,,
穂束 和美,HC,北九州本社,（前）株式会社,高田工業所,タカダコウギョウショ,,,,,,,,,福岡県北九州市八幡西区築地町1-1,093-632-2631,,
穂束 和美,PA,北九州本社,（後）株式会社,日石工業,ニッセキコウギョウ,,,,,創業30年以上,,,,福岡県北九州市門司区松原2-3-8,093-371-1011,,093-371-1014
穂束 和美,PA,北九州本社,（前）株式会社,エーアイピー,エーアイピー,卸売業・小売業,,,,創業30年以上,,,,福岡県福岡市西区姪浜駅南3-16-22,,,
穂束 和美,PA,北九州本社,（前）株式会社,ホリカワ,ホリカワ,,,,,創業30年以上,,,,福岡県北九州市戸畑区牧山海岸2-8,093-882-2910,,093-871-3137
穂束 和美,PA,北九州本社,（後）株式会社,KOGAホールディングス,コガホールディングス,卸売業・小売業,,,,創業30年以上,,,,福岡県行橋市宮市町5-24ハイライフサクセス1階,0930-22-0303,,0930-24-0777
穂束 和美,PA,北九州本社,（前）株式会社,ATEC,エイテック,,,,,創業10年以上,,,,福岡県行橋市大字吉国355-1,,,
穂束 和美,PA,北九州本社,その他,北九州商工会議所,キタキュウシュウショウコウカイギショ,,,,,創業30年以上,,,,福岡県北九州市小倉北区紺屋町13-1,093-541-0181,,093-531-1799
穂束 和美,PA,北九州本社,（後）株式会社,東宝ホーム,トウホウホーム,,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区下到津4-9-2,093-571-1555,kitaq@tohohome.jp,093-571-1503
穂束 和美,HC,北九州本社,（後）株式会社,高橋運輸興業,タカハシウンユコウギョウ,,,,,,,,,,,,
穂束 和美,HC,北九州本社,（前）株式会社,フェスティバロ社,フェスティバロシャ,卸売業・小売業,,,,創業30年以上,,,,鹿児島県鹿屋市上野町1869,0994-43-3460,festivalo@festivalo.co.jp,
穂束 和美,HC,北九州本社,その他,長崎県土地家屋調査士会,ナガサキケントチカオクチョウサシカイ,,,,,,,,,長崎県長崎市桜町7-6-101サンガーデン桜町,095-828-0009,nagasaki@trust.ocn.ne.jp,095-828-2629
木下 雅文,PA,北九州本社,その他,公益財団法人北九州観光コンベンション協会,キタキュウシュウコンベンションキョウカイ,,,,,,,,,福岡県北九州市小倉北区浅野3-8-1,,,
木下 雅文,PA,北九州本社,その他,公益財団法人北九州市芸術文化振興財団,キタキュウシュウシゲイジュツブンカシンコウザイダン,,,,,,,,,福岡県北九州市小倉北区室町1-1-1-11リバーウォーク北九州5階,093-562-3016,,093-562-3017
木下 雅文,PA,北九州本社,その他,中間市役所,ナカマシヤクショ,,,,,,,,,福岡県中間市中間1-1-1,093-244-1111,,093-245-5598
木下 雅文,PA,北九州本社,（前）株式会社,ジェイリンク,ジェイリンク,,,,,創業30年以上,,,,福岡県北九州市小倉北区竪町1-6-7,093-581-6363,,
木下 雅文,PA,北九州本社,（前）株式会社,ミクニ,ミクニ,,,,,創業30年以上,,,,福岡県北九州市小倉北区紺屋町12-4,093-521-0392,,093-521-0399
木下 雅文,PA,北九州本社,（前）株式会社,トッパングラフィックコミュニケーションズ,トッパングラフィックコミュニケーションズ,,,,,,,,,,,,
木下 雅文,PA,北九州本社,その他,北九州市役所,キタキュウシュウシヤクショ,,,,,,,,,福岡県北九州市小倉北区城内1-1,,,
木下 雅文,PA,北九州本社,（後）株式会社,ApamanProperty,アパマンプロパティ,,,,,,,,,福岡県北九州市小倉北区浅野2-14-3あるあるCity2号館3階 ,,,
木下 雅文,PA,北九州本社,（前）株式会社,プライムプレイス,プライムプレイス,,,,,創業10年以上,,,,福岡県北九州市小倉北区室町1-1-1,,,
田代 健志,PA,北九州本社,（後）株式会社,福岡トヨペット,フクオカトヨペット,,,,,,,,,福岡県福岡市博多区東光1-6-13,092-411-1121,,092-474-2115
田代 健志,PA,北九州本社,（前）株式会社,トヨタレンタリース博多,トヨタレンタリースハカタ,,,,,,,,,福岡県福岡市博多区東光1-6-13,092-472-8355,,092-472-8376
田代 健志,PA,北九州本社,（後）株式会社,朝日建物管理九州支店,アサヒタテモノカンリキュウシュウシテン,,,,,,,,,福岡県北九州市小倉北区室町1-1-1リバーウォーク北九州朝日新聞社棟8階,093-561-0231,,093-561-0315
田代 健志,HC,北九州本社,（前）株式会社,オートウェイ,オートウェイ,,,,,創業30年以上,,,,福岡県京都郡苅田町苅田3787-62,093-436-4800,,093-436-3100
