作成者,取扱会社種別,取扱事業所名,法人形態,顧客名,顧客名（カナ）,業種,会社規模,事業展開地域,取引拡大可能性,社歴,信頼性,所属部署,顧客担当者名,顧客住所,電話番号,メールアドレス,FAX
森山 仁尚,PA,北九州本社,（後）株式会社,SBエンジニアリング,エスビーエンジニアリング,情報通信業,,全国展開,,創業10年以上,,,,東京都江東区豊洲5-6-52NBF豊洲キャナルフロント9階,,,
森山 仁尚,HC,北九州本社,（前）株式会社,スピナ,スピナ,不動産業・物品賃貸業,,地域限定,,創業30年以上,,,,福岡県北九州市八幡東区平野2-11-1,093-671-0344,,
森山 仁尚,HC,北九州本社,（前）株式会社,三和商運,サンワショウウン,運輸業・郵便業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区本町1-14-14,093-751-7374,,
森山 仁尚,HC,北九州本社,（後）有限会社,丸西商事,マルニシショウジ,学術研究・専門・技術サービス業,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区片野2-8‐3,,,
森山 仁尚,PA,北九州本社,（後）株式会社,西部ガス,サイブガス,電気・ガス・熱供給・水道業,,複数地域,,創業30年以上,,,,福岡市博多区千代1-17-1,,,
森山 仁尚,PA,北九州本社,（前）株式会社,九州ダイケン,キュウシュウダイケン,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,福岡市博多区住吉2-2-1井門博多ビルイースト8階,,,
森山 仁尚,PA,北九州本社,なし,​花田司法書士・土地家屋調査士合同事務所,ハナダシホウショシ・トチカオクチョウサシゴウドウジムショ,学術研究・専門・技術サービス業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区田町12-7,093-561-2266,,093-561-1211
森山 仁尚,PA,北九州本社,（前）株式会社,ゆめマート北九州,ユメマートキタキュウシュウ,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県北九州市八幡西区中須1-1-7,093-602-2770,,093-602-2835
森山 仁尚,PA,北九州本社,（前）有限会社,末廣薬局,スエヒロヤッキョク,卸売業・小売業,,,,,,,,福岡県北九州市門司区東新町2-11-34,,,
森山 仁尚,HC,北九州本社,（後）株式会社,りらいあコミュニケーションズ,リライアコミュニケーションズ,サービス業（他に分類されないもの）,,全国展開,,創業30年以上,,,,東京都渋谷区代々木2-2-1小田急サザンタワー16階,03-5351-7200,,3-5351-3300
森山 仁尚,PA,北九州本社,（前）株式会社,ルネ,ルネ,卸売業・小売業,,,,創業30年以上,,,,東京都渋谷区渋谷2-11-8,0120-246-247,,
森山 仁尚,PA,北九州本社,なし,戸田正義税理士事務所,トダタダヨシゼイリシジムショ,学術研究・専門・技術サービス業,,地域限定,,,,,,福岡県北九州市戸畑区中原西2-8-31森ビル2階,093-873-1112,,
森山 仁尚,HC,北九州本社,（前）株式会社,アッセン,アッセン,製造業,,地域限定,,創業30年以上,,,,福岡県久留米市田主丸町秋成257,0943-72-8220,,0943-72-8221
森山 仁尚,PA,北九州本社,（前）株式会社,池間組,イケマグミ,建設業,,,,創業30年以上,,,,福岡県北九州市若松区童子丸1-1-43,093-791-1238,,093-701-3854
森山 仁尚,PA,北九州本社,（前）株式会社,ガスパル九州,ガスパルキュウシュウ,電気・ガス・熱供給・水道業,,,,創業10年以上,,,,福岡県福岡市中央区高砂1-1-29一丁目KFビル2階,092-523-0661,,092-523-0662
森山 仁尚,PA,北九州本社,（前）株式会社,ビックス,ビックス,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区井堀1-5-28,093-581-5201,,093-581-6027
森山 仁尚,HC,北九州本社,（前）株式会社,川原グループ,カワハラグループ,サービス業（他に分類されないもの）,,地域限定,,,,,,福岡県北九州市門司区大字猿喰179-1,093-481-2002,,
森山 仁尚,HC,北九州本社,（後）株式会社,戸畑鉄工,トバタテッコウ,製造業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉南区新曽根9-20,093-471-7955,,093-471-1607
森山 仁尚,HC,北九州本社,（後）株式会社,鶴丸海運,ツルマルカイウン,運輸業・郵便業,,複数地域,,創業30年以上,,,,福岡県北九州市若松区本町1-5-11,093-761-5631,,093-771-6172
森山 仁尚,HC,北九州本社,（後）株式会社,山九,サンキュウ,運輸業・郵便業,,全国展開,,創業30年以上,,,,東京都中央区勝どき6-5-23,3536-3939,,
森山 仁尚,HC,北九州本社,（後）株式会社,興栄商事,コウエイショウジ,サービス業（他に分類されないもの）,,全国展開,,創業10年以上,,,,神奈川県横浜市⾦沢区福浦1-13-3,045-785-1133,,045-785-1134
森山 仁尚,PA,北九州本社,（前）株式会社,轟企画,トドロキキカク,宿泊業・飲食サービス業,,地域限定,,創業30年以上,,,,福岡県豊前市大字沓川650-1,0979-82-5792,,
森山 仁尚,HC,北九州本社,（後）株式会社,山下医科器械,ヤマシタイカキカイ,卸売業・小売業,,複数地域,,創業30年以上,,,,長崎県佐世保市湊町3-13,0956-25-2112,,0956-25-8141
森山 仁尚,HC,北九州本社,その他,社会福祉法人冷水福祉会,レイスイフクシカイ,医療・福祉,,地域限定,,創業30年以上,,,,熊本県熊本市南区良町1-22-1,096-378-3167,,
森山 仁尚,HC,北九州本社,（前）株式会社,ネオマルス,ネオマルス,サービス業（他に分類されないもの）,,複数地域,,創業30年以上,,,,大分県大分市都町2-1-10ウォーカービル8階,097-573-3131,,097-573-3130
森山 仁尚,HC,北九州本社,（後）株式会社,日本管財,ニホンカンザイ,サービス業（他に分類されないもの）,,全国展開,,創業30年以上,,,,東京都中央区日本橋2-1-10柳屋ビルディング5階,,,
森山 仁尚,PA,北九州本社,（後）株式会社,國富,クニトミ,サービス業（他に分類されないもの）,,複数地域,,創業30年以上,,,,広島県呉市築地町6-1,0823-21-5038,,0823-21-5039
森山 仁尚,PA,北九州本社,その他,公益財団法人北九州市どうぶつ公園協会,キタキュウシュウシドウブツコウエンキョウカイ,生活関連サービス業・娯楽業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区上到津4-1-8,093-616-7155,,093-651-1917
森山 仁尚,HC,北九州本社,（前）株式会社,三井ハイテック,ミツイハイテック,製造業,,複数地域,,創業30年以上,,,,福岡県北九州市八幡西区小嶺2-10-1,093-614-1111,,093-614-1200
森山 仁尚,HC,北九州本社,（前）株式会社,佐賀新聞ライフマネジメント,サガシンブンライフマネジメント,宿泊業・飲食サービス業,,地域限定,,創業10年以上,,,,佐賀県佐賀市神野東3-1-35,0952-36-4510,,0952-36-4511
森山 仁尚,PA,北九州本社,（前）有限会社,R1ファーマシー,アールワンファーマシー,卸売業・小売業,,地域限定,,創業30年以上,,,,山口県下関市彦島江の浦町9-7-5,083-267-8026,,083-267-5403
森山 仁尚,HC,北九州本社,（後）株式会社,デサントアパレル,デサントアパレル,製造業,,複数地域,,創業10年以上,,,,大阪府大阪市浪速区湊町1-2-3マルイト難波ビル13階,06-6633-4201,,06-6633-4202
森山 仁尚,HC,北九州本社,（後）株式会社,日米礦油,ニチベイコウユ,製造業,,全国展開,,創業30年以上,,,,大阪府大阪市西区南堀江4-25-15,06‐6538‐7071,,
森山 仁尚,PA,北九州本社,（後）株式会社,丸栄産業,マルエイサンギョウ,建設業,,全国展開,,創業30年以上,,,,福岡県北九州市小倉南区石原町130-12,,,
森山 仁尚,PA,北九州本社,（前）株式会社,世良商店,セラショウテン,卸売業・小売業,,,,,,,,福岡県北九州市小倉北区浅野2-12-36,093-531-0500,,
森山 仁尚,PA,北九州本社,（後）株式会社,西日本高速道路リテール,ニシニホンコウソクドウロリテール,宿泊業・飲食サービス業,,複数地域,,創業30年以上,,,,大阪府大阪市北区堂島2-4-27JRE堂島タワー5階,,,
穂束 和美,PA,北九州本社,（後）株式会社,スカイレンタカー九州,スカイレンタカーキュウシュウ,サービス業（他に分類されないもの）,,地域限定,,創業10年未満,,,,福岡県北九州市小倉北区浅野2-15-45クローバージャパンビル1階,,,
穂束 和美,PA,北九州本社,（前）株式会社,ナカノ,ナカノ,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区魚町2-3-22,093-521-0453,,
穂束 和美,PA,北九州本社,（前）株式会社,ゼンリン,ゼンリン,情報通信業,,複数地域,,創業30年以上,,,,福岡県北九州市戸畑区中原新町3-1,093-882-9050,,093-882-9100
穂束 和美,PA,北九州本社,（前）株式会社,NTTマーケティングアクトProCX,エヌティーティーマーケティングアクトプロクス,サービス業（他に分類されないもの）,,全国展開,,創業10年未満,,,,大阪市都島区東野田町4-15-82,,,
穂束 和美,PA,北九州本社,（前）株式会社,小玉商店,コダマショウテン,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区北浜2-1-6,093-761-3821,,093-771-5013
穂束 和美,PA,北九州本社,（前）株式会社,アヴェニュー,アヴェニュー,,,,,,,,,福岡県北九州市小倉北区清水3-9-1,,,
穂束 和美,PA,北九州本社,（前）株式会社,飛鳥会館,アスカカイカン,生活関連サービス業・娯楽業,,地域限定,,創業30年以上,,,,山口県下関市山の田本町17-10,083-253-7200,,083-253-7300
穂束 和美,PA,北九州本社,（後）株式会社,大英産業,ダイエイサンギョウ,不動産業・物品賃貸業,,地域限定,,創業30年以上,,,,福岡県北九州市八幡西区下上津役4-1-36,,,
穂束 和美,PA,北九州本社,（後）株式会社,自見産業,ジミサンギョウ,製造業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区安瀬1-29,093-751-7511,,093-751-8499
穂束 和美,PA,北九州本社,（前）株式会社,ドリス,ドリス,卸売業・小売業,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区東港1-1-5,,,
穂束 和美,HC,北九州本社,（後）株式会社,安川マニュファクチャリング,ヤスカワマニュファクチャリング,製造業,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区黒崎城石2-1,093-588-3041,,093-588-3042
穂束 和美,PA,北九州本社,（前）株式会社,TMJ,ティーエムジェイ,サービス業（他に分類されないもの）,,全国展開,,創業30年以上,,,,東京都新宿区西新宿7-20-1住友不動産西新宿ビル,03-6758-2000,,
穂束 和美,HC,北九州本社,（後）株式会社,西鉄ビルマネージメント,ニシテツビルマネージメント,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県福岡市中央区今泉1-12-23西鉄今泉ビル3階・4階,092-718-0620,,092-718-0632
穂束 和美,PA,北九州本社,（前）株式会社,BBDO・J・WEST,ビービーディオー・ジェイ・ウェスト,学術研究・専門・技術サービス業,,複数地域,,創業10年以上,,,,福岡市中央区天神4-1-32天神リバーフロントビジネスセンター7階,092-751-2466,,092-751-8095
穂束 和美,PA,北九州本社,（後）株式会社,コダマ健康食品,コダマケンコウショクヒン,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区東港1-1-12,093-581-2202,,093-581-2203
穂束 和美,PA,北九州本社,（前）株式会社,JTB,ジェイティービー,生活関連サービス業・娯楽業,,全国展開,,創業30年以上,,,,東京都品川区東品川2-3-11JTBビル,,,
穂束 和美,PA,北九州本社,（後）株式会社,寶結,ホウユウ,情報通信業,,複数地域,,創業10年未満,,,,福岡県北九州市小倉北区魚町1‐1-9,,,
穂束 和美,PA,北九州本社,（前）株式会社,西部興産グループ,セイブコウサングループ,運輸業・郵便業,,複数地域,,創業30年以上,,,,福岡県北九州市八幡西区割子川2-17-32,093-613-1115,,
穂束 和美,PA,北九州本社,（後）株式会社,竹藤開発工業,タケフジカイハツコウギョウ,製造業,,地域限定,,創業30年以上,,,,福岡県北九州市若松区南二島1-13-10,093-791-2477,,093-791-4526
穂束 和美,PA,北九州本社,（後）株式会社,九州機電,キュウシュウキデン,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区西港町92-5,093-591-2333,,093-591-2323
穂束 和美,PA,北九州本社,（後）株式会社,カンリクEXPRESS九州,カンリクエクスプレスキュウシュウ,運輸業・郵便業,,複数地域,,創業10年以上,,,,福岡県糟屋郡須恵町植木1158-1,092-931-2020,,092-931-2030
穂束 和美,PA,北九州本社,（前）有限会社,八幡西調剤薬局,ヤハタニシチョウザイヤッキョク,卸売業・小売業,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区八枝3-12-1,093-695-0777,,
穂束 和美,PA,北九州本社,（前）有限会社,福田会計センター,フクダカイケイセンター,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区片野4-20-3泰平ビル208号,093-922-3003,zeirisi@jupiter.plala.or.jp,093-922-3100
穂束 和美,PA,北九州本社,その他,税理士法人近未来,キンミライ,学術研究・専門・技術サービス業,,地域限定,,創業10年未満,,,,福岡市東区香椎駅前1-20-28木下ビル302,092-661-8035,,
穂束 和美,HC,北九州本社,（後）株式会社,王子製袋,オウジセイタイ,製造業,,全国展開,,創業30年以上,,,,東京都中央区銀座5-12-8王子ホールディングス1号館,03-5550-2850,,03-5550-0451
穂束 和美,PA,北九州本社,（後）株式会社,フタバ薬品,フタバヤクヒン,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市八幡西区藤田4-2-13,093-622-0751,,093-622-0761
穂束 和美,PA,北九州本社,（後）株式会社,岡總,オカソウ,卸売業・小売業,,複数地域,,創業30年以上,,,,大阪府大阪市中央区島之内1-14-19,06-6252-5510,,06-6252-5108
穂束 和美,HC,北九州本社,（後）株式会社,北九福鳥,キタキュウフクチョウ,製造業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区中井5-17-25,093-581-1873,kokura@fukucho.com,093-581-6200
穂束 和美,PA,北九州本社,（前）株式会社,エクシング,エクシング,運輸業・郵便業,,全国展開,,創業30年以上,,,,大阪府大阪市淀川区加島1-37-56,,,
穂束 和美,PA,北九州本社,なし,三崎クリニック,ミサキクリニック,医療・福祉,,地域限定,,,,,,福岡県北九州市門司区西海岸1-6-6-101,093-321-2586,,
穂束 和美,PA,北九州本社,その他,土地家屋調査士法人アトライズ,トチカオクチョウサシホウジンアトライズ,学術研究・専門・技術サービス業,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区吉野町10-19,093-932-1822 ,,093-932-1823
穂束 和美,PA,北九州本社,その他,アトライズ合同司法書士法人,アトライズゴウドウシホウショシホウジン,学術研究・専門・技術サービス業,,地域限定,,創業10年未満,,,,福岡県北九州市小倉北区堺町1-9-10,093-511-0302,,093-511-0303
穂束 和美,HC,北九州本社,（前）株式会社,清水産業,シミズサンギョウ,製造業,,地域限定,,創業10年以上,,,,福岡県北九州市戸畑区小芝3-11-26,093-882-9785,,093-882-9778
穂束 和美,PA,北九州本社,（前）株式会社,Fstage,エフステージ,医療・福祉,,地域限定,,,,,,福岡県北九州市小倉北区赤坂3-11-33,083-277-0349,,
穂束 和美,PA,北九州本社,（前）株式会社,近藤海事,コンドウカイジ,運輸業・郵便業,,複数地域,,創業30年以上,,,,福岡県北九州市若松区北湊町3-24,093-761-1111,,093-761-1001
穂束 和美,PA,北九州本社,（前）株式会社,新星社,シンセイシャ,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県北九州市門司区松原1-10-35,093-391-8311,,093-391-8312
穂束 和美,PA,北九州本社,（前）株式会社,田才倉庫,タサイソウコ,運輸業・郵便業,,地域限定,,創業10年未満,,,,福岡県北九州市若松区響町3-1-12,093-482-8256,,093-482-8257
穂束 和美,HC,北九州本社,なし,熊本県漁業協同組合連合会,クマモトケンギョギョウキョウドウクミアイレンゴウカイ,漁業,,地域限定,,,,,,熊本県熊本市西区中原町656,096-329-8800,kumamotogyoren@jf-kumamoto.com,096-329-8787
穂束 和美,PA,北九州本社,（前）有限会社,西友自動車,セイユウジドウシャ,製造業,,地域限定,,創業10年以上,,,,福岡県京都郡苅田町新浜町9-12,,,
穂束 和美,PA,北九州本社,（後）株式会社,TGロジスティクス,ティージーロジスティクス,製造業,,複数地域,,創業30年以上,,,,愛知県一宮市萩原町東宮重字長原25-2,0586-67-1128,,0586-67-1158
穂束 和美,HC,北九州本社,（前）株式会社,ヴァレオ・ジャパン,ヴァレオ・ジャパン,製造業,,全国展開,,創業30年以上,,,,東京都渋谷区元代々木町30-13ONEST元代々木スクエア4階,03-5465-5710,,
穂束 和美,PA,北九州本社,（後）株式会社,.Noahホールディングス,ドットノアホールディングス,建設業,,地域限定,,創業10年未満,,,,福岡県北九州市小倉北区浅野3-8-1AIMビル6階,093-967-9767,info@noah-holdings.com,093-383-7564
穂束 和美,HC,北九州本社,（後）株式会社,旭国際テクネイオン,アサヒコクサイテクネイオン,建設業,,全国展開,,創業10年以上,,,,福岡県北九州市門司区新門司北1-3-8,,,
穂束 和美,PA,北九州本社,（後）有限会社,昌加自動車工業,ショウカジドウシャコウギョウ,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区赤坂海岸5-20,093-521-9497,,093-511-4352
穂束 和美,HC,北九州本社,（後）株式会社,PLASTICOMNIUM,プラスチックオムニウム,製造業,,,,創業10年以上,,,,東京都港区虎ノ門2-10-1虎ノ門ツインビルディング西棟12階,,,
穂束 和美,HC,北九州本社,（後）株式会社,フォルシア・ニッパツ九州,フォルシア・ニッパツキュウシュウ,製造業,,地域限定,,創業10年以上,,,,福岡県京都郡苅田町新浜町9-9,093-435-3300,,
穂束 和美,HC,北九州本社,（前）株式会社,高田工業所,タカダコウギョウショ,建設業,,全国展開,,創業30年以上,,,,福岡県北九州市八幡西区築地町1-1,093-632-2631,,
穂束 和美,PA,北九州本社,（後）株式会社,日石工業,ニッセキコウギョウ,建設業,,複数地域,,創業30年以上,,,,福岡県北九州市門司区松原2-3-8,093-371-1011,,093-371-1014
穂束 和美,PA,北九州本社,（前）株式会社,エーアイピー,エーアイピー,卸売業・小売業,,複数地域,,創業30年以上,,,,福岡県福岡市西区姪浜駅南3-16-22,,,
穂束 和美,PA,北九州本社,（前）株式会社,ホリカワ,ホリカワ,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県北九州市戸畑区牧山海岸2-8,093-882-2910,,093-871-3137
穂束 和美,PA,北九州本社,（後）株式会社,KOGAホールディングス,コガホールディングス,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県行橋市宮市町5-24ハイライフサクセス1階,0930-22-0303,,0930-24-0777
穂束 和美,PA,北九州本社,（前）株式会社,ATEC,エイテック,製造業,,地域限定,,創業10年以上,,,,福岡県行橋市大字吉国355-1,,,
穂束 和美,PA,北九州本社,なし,北九州商工会議所,キタキュウシュウショウコウカイギショ,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区紺屋町13-1,093-541-0181,,093-531-1799
穂束 和美,PA,北九州本社,（後）株式会社,東宝ホーム,トウホウホーム,不動産業・物品賃貸業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区下到津4-9-2,093-571-1555,kitaq@tohohome.jp,093-571-1503
穂束 和美,HC,北九州本社,（後）株式会社,高橋運輸興業,タカハシウンユコウギョウ,運輸業・郵便業,,全国展開,,創業30年以上,,,,神奈川県川崎市中原区中丸子347,044-411-7632,,044-411-7632
穂束 和美,HC,北九州本社,（前）株式会社,フェスティバロ社,フェスティバロシャ,卸売業・小売業,,全国展開,,創業30年以上,,,,鹿児島県鹿屋市上野町1869,0994-43-3460,festivalo@festivalo.co.jp,
穂束 和美,HC,北九州本社,その他,長崎県土地家屋調査士会,ナガサキケントチカオクチョウサシカイ,学術研究・専門・技術サービス業,,地域限定,,,,,,長崎県長崎市桜町7-6-101サンガーデン桜町,095-828-0009,nagasaki@trust.ocn.ne.jp,095-828-2629
穂束 和美,PA,北九州本社,（後）株式会社,大東コーポレートサービス,ダイトウコーポレートサービス,サービス業（他に分類されないもの）,,複数地域,,創業10年以上,,,,東京都品川区東品川2-2-4,,,
穂束 和美,PA,北九州本社,（後）株式会社,北九州ふよう,キタキュウシュウフヨウ,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区浅野2-14-1KMMビル6階,093-511-6460,,
穂束 和美,PA,北九州本社,（前）株式会社,東洋電機工業所,トウヨウデンキコウギョウショ,製造業,,全国展開,,創業30年以上,,,,福岡県北九州市八幡西区則松1-7-10,093-691-2731,,093-691-2728
穂束 和美,PA,北九州本社,（前）株式会社,ウインズ,ウインズ,不動産業・物品賃貸業,,地域限定,,創業10年以上,,,,福岡県北九州市小倉北区室町2-2-8リード室町1階,,,
穂束 和美,PA,北九州本社,（後）株式会社,アイギスセキュリティ,アイギスセキュリティ,サービス業（他に分類されないもの）,,地域限定,,創業10年以上,,,,福岡県北九州市八幡西区藤田4-2-13リブート黒崎,093-883-6180,,093-482-5861
穂束 和美,PA,北九州本社,（後）株式会社,大東建託パートナーズ,ダイトウケンタクパートナーズ,不動産業・物品賃貸業,,全国展開,,創業10年以上,,,,東京都港区港南二丁目16番1号 品川イーストワンタワー,,,
穂束 和美,PA,北九州本社,（前）株式会社,エコウッド,エコウッド,製造業,,複数地域,,創業10年以上,,,,福岡県北九州市若松区響町1-12-1,093-751-2424,,093‐751‐2430
穂束 和美,PA,北九州本社,（前）株式会社,ユキテック,ユキテック,製造業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区赤坂海岸6-7,093-541-6931,,093-521-3252
穂束 和美,HC,北九州本社,（後）株式会社,大正伸鐵,タイショウシンテツ,製造業,,複数地域,,創業30年以上,,,,大阪府大阪市中央区南船場3-11-10心斎橋大陽ビル,093-751-2221,,093-751-2217
木下 雅文,PA,北九州本社,その他,公益財団法人北九州観光コンベンション協会,キタキュウシュウコンベンションキョウカイ,生活関連サービス業・娯楽業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区浅野3-8-1,,,
木下 雅文,PA,北九州本社,その他,公益財団法人北九州市芸術文化振興財団,キタキュウシュウシゲイジュツブンカシンコウザイダン,生活関連サービス業・娯楽業,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区室町1-1-1-11リバーウォーク北九州5階,093-562-3016,,093-562-3017
木下 雅文,PA,北九州本社,その他,中間市役所,ナカマシヤクショ,公務（他に分類されるものを除く）,,地域限定,,,,,,福岡県中間市中間1-1-1,093-244-1111,,093-245-5598
木下 雅文,PA,北九州本社,（前）株式会社,ジェイリンク,ジェイリンク,運輸業・郵便業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区竪町1-6-7,093-581-6363,,
木下 雅文,PA,北九州本社,（前）株式会社,ミクニ,ミクニ,不動産業・物品賃貸業,,複数地域,,創業30年以上,,,,福岡県北九州市小倉北区紺屋町12-4,093-521-0392,,093-521-0399
木下 雅文,PA,北九州本社,（前）株式会社,トッパングラフィックコミュニケーションズ,トッパングラフィックコミュニケーションズ,製造業,,全国展開,,創業10年以上,,,,東京都板橋区志村1-11-1,03-3968-5046,,03-3558-0204
木下 雅文,PA,北九州本社,その他,北九州市役所,キタキュウシュウシヤクショ,公務（他に分類されるものを除く）,,地域限定,,創業30年以上,,,,福岡県北九州市小倉北区城内1-1,,,
木下 雅文,PA,北九州本社,（後）株式会社,APAMAN,アパマン,不動産業・物品賃貸業,,全国展開,,創業10年以上,,,,東京都千代田区丸の内1-8-1丸の内トラストタワーN館19階,,,
木下 雅文,PA,北九州本社,（前）株式会社,プライムプレイス,プライムプレイス,生活関連サービス業・娯楽業,,全国展開,,創業10年以上,,,,福岡県北九州市小倉北区室町1-1-1,,,
木下 雅文,PA,北九州本社,なし,行橋商工会議所,ユクハシショウコウカイギショ,サービス業（他に分類されないもの）,,地域限定,,創業30年以上,,,,福岡県行橋市中央1-9-50,0930-25-2121,,0930-25-3488
田代 健志,PA,北九州本社,（後）株式会社,福岡トヨペット,フクオカトヨペット,卸売業・小売業,,地域限定,,創業30年以上,,,,福岡県福岡市博多区東光1-6-13,092-411-1121,,092-474-2115
田代 健志,PA,北九州本社,（前）株式会社,トヨタレンタリース博多,トヨタレンタリースハカタ,不動産業・物品賃貸業,,地域限定,,創業30年以上,,,,福岡県福岡市博多区東光1-6-13,092-472-8355,,092-472-8376
